Year,Trade Flow,Reporter,Partner,Commodity Code,Commodity,Qty Unit,Qty,Netweight (kg),Trade Value (US$)
2021,Import,Cyprus,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,1379718,1379718,3588826
2021,Export,Poland,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,53693951,53693951,119222839
2021,Import,Mongolia,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,1358115,1400726,3128145
2021,Export,Portugal,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",No Quantity,0,,19571860
2021,Import,Suriname,World,390690,"Acrylic polymers other than poly(methyl methacrylate), in primary forms",Weight in kilograms,1200570,1200570,3312303
2021,Import,Kuwait,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,1094877,1094877,3047461
2021,Export,Romania,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,466744,466744,1695724
2021,Import,Botswana,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,932761,989146,2766953
2021,Export,Russian Federation,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",No Quantity,0,,68271752
2021,Import,Fiji,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,907403,907403,1895608
2021,Export,Saudi Arabia,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,55217285,55217285,74086618
2021,Import,Malta,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,892680,892680,2327197
2021,Export,Senegal,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,42496,42496,205418
2021,Import,Georgia,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,823477,823477,1520449
2021,Export,Serbia,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,817637,817637,2330954
2021,Import,Guyana,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,791185,791185,1635936
2021,Import,Iceland,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,764833,764833,1904658
2021,Export,India,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,146900066,146900066,269269527
2021,Import,Armenia,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,747115,747115,1842937
2021,Export,Singapore,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,149008600,149008600,351248056
2021,Import,Mauritania,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,629091,629091,1137016
2021,Export,Slovakia,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,1221456,1221456,2401531
2021,Import,Nicaragua,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,584650,584650,1814614
2021,Export,Viet Nam,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,7742352,7742352,17867172
2021,Import,Barbados,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,498935,498935,1268817
2021,Export,Slovenia,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,18453458,18453458,52962278
2021,Import,Benin,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,491989,491989,633350
2021,Export,South Africa,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,27641526,27641526,52433698
2021,Import,Congo,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,400526,400526,1066192
2021,Import,State of Palestine,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,347709,347709,862985
2021,Export,Spain,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",No Quantity,0,,339123695
2021,Import,Lesotho,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,316480,316480,403980
2021,Import,Niger,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,181720,181720,898316
2021,Export,Sweden,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,57487974,57487974,252570640
2021,Import,Grenada,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,117093,117093,284581
